,Descripcion,Amenidades,Detalles,Precio,Direccion
0,"Casa en venta en privada finisterra del fracc.las aldabas, con accesos por gómez morín, francisco villarreal o campos elíseos. Ubicada frente a uno de los parques del fraccionamiento, tiene dos lotes de terreno con una superficie total de 321 m2 con construcción total de 230.29 m2, habitables 158.20 m2, volados y cochera 39.15 m2 y una terraza de 32.94 m2. La primera planta cuenta con sala, comedor, cocina ,área para desayunador y baño para visitas. En la segunda planta tiene 3 recámaras, 2.5 baños, estancia y una amplia terraza que puede recibir construcciones adicionales. Pisos de cerámica, escalera con huellas de madera, cocina con muebles de madera y área para lavandería. Aislamiento de poliuretano en techos y muros, más polisocianurato en recámara principal y recámara secundaria. Equipada con un mastercool, calefacción, boiler nuevo, riego por aspersión y goteo, rejas en toda la casa y bodega exterior. Cochera cubierta para dos autos, muy buen estado de conservación, lista para habitarse. Bienvenidos créditos bancarios e infonavit.","['Piso de loseta', 'Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Cocina Equipada', 'Estudio', 'Cuarto de servicio', 'Estacionamiento techado', 'Terraza', 'Jardín']","['Estacionamientos\n2', 'Recámaras\n3', 'Baños\n2.5', 'Construidos (m²)\n230.29', 'Terreno (m²)\n321', 'Disponible desde\n13/07/21']","$ 3,498,000","Finisterra Norte 12315 Las Aldabas, Ciudad Juárez"
1,"Código: 4144707 - Residencia en venta en Rincones de San Marcos Cd. Juárez 400 metros cuadradosIncluye 5 Recamaras Jacuzzi, tina, closet amplio, baño muy amplio Escaleras de duela Piso de ceramica Cocina Integral Closets Shutters Chimenea  Sala, comedor, terraza, cuarto del equipo de la alberca Cuarto de servicioVenta: $330,000.00 dlls",[],"['Estacionamientos\n2', 'Construido (Año)\n2021', 'Construidos (m²)\n400', 'Terreno (m²)\n375']","US$ 330,000","Ciudad Juárez Centro, Ciudad Juárez"
2,"Casa en Venta en Cd. Juarez, Fuentes del Valle por Galerias TEC, Poliplaza Medica y TEC de Juarez, Privado con vigilancia, Una Planta, 3 Recamaras, la principal con vestidor y baño, 2 Baños, Estancia, Sala, Comedor, Cocina, Patio, Cochera para un auto. NO APLICA PARA CREDITO - SOLO CONTADO",[],"['Recámaras\n3', 'Baños\n2', 'Habitaciones (en total)\n5', 'Construido (Año)\n1981', 'Construidos (m²)\n106', 'Terreno (m²)\n200']","$ 1,300,000","Fuentes del Valle, Ciudad Juárez"
3,No créditos. EasyBroker ID: EB-CK4912,[],"['Recámaras\n5', 'Estacionamientos\n2', 'Baños\n4', 'Habitaciones (en total)\n9', 'Construido (Año)\n2021', 'Construidos (m²)\n296', 'Terreno (m²)\n394']","US$ 120,000","Los Nogales, Ciudad Juárez"
4,"Casa completamente renovada a una cuadra de Plutarco Elías Calles, construcción en dos plantas, con una estancia que puede utilizarse como recámara muy amplia en planta baja y tres recámaras más en planta alta. Tres baños completos, lavandería en segunda planta, pisos, ductos y cocina nuevos. Cochera para un auto. Bienvenidos créditos bancarios.","['Piso de loseta', 'Cocina Equipada', 'Estudio', 'Terraza', 'Estacionamiento abierto']","['Estacionamientos\n2', 'Recámaras\n4', 'Baños\n3.5', 'Construidos (m²)\n265', 'Terreno (m²)\n175', 'Disponible desde\n23/06/21']","$ 2,475,000","Artículo 3ro 329 Burócrata 2a Secc, Ciudad Juárez"
5,"Se vende casa, hermosa residencia con alberca y jardin.
Total y recien remodelada 
Casa en fracc. Privado, fracc. De pocas casas.
3 recamaras
2 1/2 baños","['Acceso a TV de paga', 'Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Jacuzzi', 'Piso de duela', 'Cocina Equipada', 'Sistema de alarma', 'Estudio', 'Balcón', 'Estacionamiento vigilado', 'Garaje', 'Estacionamiento techado', 'Patio', 'Totalmente cercado', 'Área de entretenimiento al aire libre', 'Jardín', 'Estacionamiento abierto', 'Alberca', 'Estacionamiento para Visitas', '']","['Estacionamientos\n4', 'Recámaras\n3', 'Baños\n2', 'Construidos (m²)\n129', 'Terreno (m²)\n211', 'Disponible desde\n12/06/21']","$ 3,460,000","Hacienda La Cantera, Ciudad Juárez"
6,"Se vende casa recién remodelada - casa de una planta * fracc. Abierto
Alamos de san lorenzo
 - 3 recamaras 
- 1 baño 
- sala","['Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Cocina Equipada', 'Garaje', 'Estacionamiento techado', 'Patio', 'Jardín']","['Estacionamientos\n3', 'Recámaras\n3', 'Baños\n1', 'Construidos (m²)\n106', 'Terreno (m²)\n210', 'Disponible desde\n16/06/21']","$ 2,150,000","Álamos de San Lorenzo, Ciudad Juárez"
7,"Hermosa casa - modelo valencia 

Privado y lujoso fraccionamiento a lado del seguro 66 

El fraccionamiento cuenta con:","['Piso de loseta', 'Gimnasio', 'Cuarto de servicio', 'Estacionamiento vigilado', 'Totalmente cercado', 'Área de entretenimiento al aire libre', 'Jardín', 'Área de juegos infantiles']","['Estacionamientos\n2', 'Recámaras\n3', 'Baños\n3', 'Construidos (m²)\n88', 'Terreno (m²)\n120', 'Disponible desde\n29/03/21']","$ 1,224,000","Rincones de Salvarcar, Ciudad Juárez"
8,"Casa en Venta en Fracc. Canto de Palermo
MODELO: Carolina. EasyBroker ID: EB-CH7816",[],"['Recámaras\n3', 'Estacionamientos\n2', 'Baños\n2', 'Habitaciones (en total)\n5', 'Construido (Año)\n2021', 'Construidos (m²)\n168', 'Terreno (m²)\n131']","$ 1,600,000","Canto de Calabria, Ciudad Juárez"
9,"Hermoso y privado fraccionamiento a 3 minutos del boulevard independencia, sobre la calle talamas camandari.

El fraccionamiento tiene acceso controlado en cada privada y áreas verdes.

Terreno: 120 m²","['Cuarto de servicio', 'Garaje', 'Área de entretenimiento al aire libre', 'Jardín', 'Estacionamiento abierto', 'Estacionamiento para Visitas', 'Área de juegos infantiles']","['Estacionamientos\n2', 'Recámaras\n2', 'Baños\n1', 'Construidos (m²)\n52.22', 'Terreno (m²)\n120', 'Disponible desde\n08/06/21']","$ 643,000","Florencia, Ciudad Juárez"
